S/N,Year,Month,Day,HS of Year,EB of Year,HS of Month,EB of Month,HS of Day,EB of Day,Season
46,1922,2,15,9,11,9,3,1,3,1
47,1922,2,16,9,11,9,3,2,4,1
48,1922,2,17,9,11,9,3,3,5,1
49,1922,2,18,9,11,9,3,4,6,1
50,1922,2,19,9,11,9,3,5,7,1
51,1922,2,20,9,11,9,3,6,8,1
52,1922,2,21,9,11,9,3,7,9,1
53,1922,2,22,9,11,9,3,8,10,1
54,1922,2,23,9,11,9,3,9,11,1
55,1922,2,24,9,11,9,3,10,12,1
56,1922,2,25,9,11,9,3,1,1,1
57,1922,2,26,9,11,9,3,2,2,1
58,1922,2,27,9,11,9,3,3,3,1
59,1922,2,28,9,11,9,3,4,4,1
60,1922,3,1,9,11,9,3,5,5,1
61,1922,3,2,9,11,9,3,6,6,1
62,1922,3,3,9,11,9,3,7,7,1
63,1922,3,4,9,11,9,3,8,8,1
64,1922,3,5,9,11,9,3,9,9,1
65,1922,3,6,9,11,10,4,10,10,2
66,1922,3,7,9,11,10,4,1,11,2
67,1922,3,8,9,11,10,4,2,12,2
68,1922,3,9,9,11,10,4,3,1,2
69,1922,3,10,9,11,10,4,4,2,2
70,1922,3,11,9,11,10,4,5,3,2
71,1922,3,12,9,11,10,4,6,4,2
72,1922,3,13,9,11,10,4,7,5,2
73,1922,3,14,9,11,10,4,8,6,2
74,1922,3,15,9,11,10,4,9,7,2
75,1922,3,16,9,11,10,4,10,8,2
76,1922,3,17,9,11,10,4,1,9,2
77,1922,3,18,9,11,10,4,2,10,2
78,1922,3,19,9,11,10,4,3,11,2
79,1922,3,20,9,11,10,4,4,12,2
80,1922,3,21,9,11,10,4,5,1,2
81,1922,3,22,9,11,10,4,6,2,2
82,1922,3,23,9,11,10,4,7,3,2
83,1922,3,24,9,11,10,4,8,4,2
84,1922,3,25,9,11,10,4,9,5,2
85,1922,3,26,9,11,10,4,10,6,2
86,1922,3,27,9,11,10,4,1,7,2
87,1922,3,28,9,11,10,4,2,8,2
88,1922,3,29,9,11,10,4,3,9,2
89,1922,3,30,9,11,10,4,4,10,2
90,1922,3,31,9,11,10,4,5,11,2
91,1922,4,1,9,11,10,4,6,12,2
92,1922,4,2,9,11,10,4,7,1,2
93,1922,4,3,9,11,10,4,8,2,2
94,1922,4,4,9,11,10,4,9,3,2
95,1922,4,5,9,11,1,5,10,4,3
96,1922,4,6,9,11,1,5,1,5,3
97,1922,4,7,9,11,1,5,2,6,3
98,1922,4,8,9,11,1,5,3,7,3
99,1922,4,9,9,11,1,5,4,8,3
100,1922,4,10,9,11,1,5,5,9,3
101,1922,4,11,9,11,1,5,6,10,3
102,1922,4,12,9,11,1,5,7,11,3
103,1922,4,13,9,11,1,5,8,12,3
104,1922,4,14,9,11,1,5,9,1,3
105,1922,4,15,9,11,1,5,10,2,3
106,1922,4,16,9,11,1,5,1,3,3
107,1922,4,17,9,11,1,5,2,4,3
108,1922,4,18,9,11,1,5,3,5,3
109,1922,4,19,9,11,1,5,4,6,3
110,1922,4,20,9,11,1,5,5,7,3
111,1922,4,21,9,11,1,5,6,8,3
112,1922,4,22,9,11,1,5,7,9,3
113,1922,4,23,9,11,1,5,8,10,3
114,1922,4,24,9,11,1,5,9,11,3
115,1922,4,25,9,11,1,5,10,12,3
116,1922,4,26,9,11,1,5,1,1,3
117,1922,4,27,9,11,1,5,2,2,3
118,1922,4,28,9,11,1,5,3,3,3
119,1922,4,29,9,11,1,5,4,4,3
120,1922,4,30,9,11,1,5,5,5,3
121,1922,5,1,9,11,1,5,6,6,3
122,1922,5,2,9,11,1,5,7,7,3
123,1922,5,3,9,11,1,5,8,8,3
124,1922,5,4,9,11,1,5,9,9,3
125,1922,5,5,9,11,1,5,10,10,3
126,1922,5,6,9,11,2,6,1,11,4
127,1922,5,7,9,11,2,6,2,12,4
128,1922,5,8,9,11,2,6,3,1,4
129,1922,5,9,9,11,2,6,4,2,4
130,1922,5,10,9,11,2,6,5,3,4
131,1922,5,11,9,11,2,6,6,4,4
132,1922,5,12,9,11,2,6,7,5,4
133,1922,5,13,9,11,2,6,8,6,4
134,1922,5,14,9,11,2,6,9,7,4
135,1922,5,15,9,11,2,6,10,8,4
136,1922,5,16,9,11,2,6,1,9,4
137,1922,5,17,9,11,2,6,2,10,4
138,1922,5,18,9,11,2,6,3,11,4
139,1922,5,19,9,11,2,6,4,12,4
140,1922,5,20,9,11,2,6,5,1,4
141,1922,5,21,9,11,2,6,6,2,4
142,1922,5,22,9,11,2,6,7,3,4
143,1922,5,23,9,11,2,6,8,4,4
144,1922,5,24,9,11,2,6,9,5,4
145,1922,5,25,9,11,2,6,10,6,4
146,1922,5,26,9,11,2,6,1,7,4
147,1922,5,27,9,11,2,6,2,8,4
148,1922,5,28,9,11,2,6,3,9,4
149,1922,5,29,9,11,2,6,4,10,4
150,1922,5,30,9,11,2,6,5,11,4
151,1922,5,31,9,11,2,6,6,12,4
152,1922,6,1,9,11,2,6,7,1,4
153,1922,6,2,9,11,2,6,8,2,4
154,1922,6,3,9,11,2,6,9,3,4
155,1922,6,4,9,11,2,6,10,4,4
156,1922,6,5,9,11,2,6,1,5,4
157,1922,6,6,9,11,3,7,2,6,5
158,1922,6,7,9,11,3,7,3,7,5
159,1922,6,8,9,11,3,7,4,8,5
160,1922,6,9,9,11,3,7,5,9,5
161,1922,6,10,9,11,3,7,6,10,5
162,1922,6,11,9,11,3,7,7,11,5
163,1922,6,12,9,11,3,7,8,12,5
164,1922,6,13,9,11,3,7,9,1,5
165,1922,6,14,9,11,3,7,10,2,5
166,1922,6,15,9,11,3,7,1,3,5
167,1922,6,16,9,11,3,7,2,4,5
168,1922,6,17,9,11,3,7,3,5,5
169,1922,6,18,9,11,3,7,4,6,5
170,1922,6,19,9,11,3,7,5,7,5
171,1922,6,20,9,11,3,7,6,8,5
172,1922,6,21,9,11,3,7,7,9,5
173,1922,6,22,9,11,3,7,8,10,5
174,1922,6,23,9,11,3,7,9,11,5
175,1922,6,24,9,11,3,7,10,12,5
176,1922,6,25,9,11,3,7,1,1,5
177,1922,6,26,9,11,3,7,2,2,5
178,1922,6,27,9,11,3,7,3,3,5
179,1922,6,28,9,11,3,7,4,4,5
180,1922,6,29,9,11,3,7,5,5,5
181,1922,6,30,9,11,3,7,6,6,5
182,1922,7,1,9,11,3,7,7,7,5
183,1922,7,2,9,11,3,7,8,8,5
184,1922,7,3,9,11,3,7,9,9,5
185,1922,7,4,9,11,3,7,10,10,5
186,1922,7,5,9,11,3,7,1,11,5
187,1922,7,6,9,11,3,7,2,12,5
188,1922,7,7,9,11,3,7,3,1,5
189,1922,7,8,9,11,4,8,4,2,6
190,1922,7,9,9,11,4,8,5,3,6
191,1922,7,10,9,11,4,8,6,4,6
192,1922,7,11,9,11,4,8,7,5,6
193,1922,7,12,9,11,4,8,8,6,6
194,1922,7,13,9,11,4,8,9,7,6
195,1922,7,14,9,11,4,8,10,8,6
196,1922,7,15,9,11,4,8,1,9,6
197,1922,7,16,9,11,4,8,2,10,6
198,1922,7,17,9,11,4,8,3,11,6
199,1922,7,18,9,11,4,8,4,12,6
200,1922,7,19,9,11,4,8,5,1,6
201,1922,7,20,9,11,4,8,6,2,6
202,1922,7,21,9,11,4,8,7,3,6
203,1922,7,22,9,11,4,8,8,4,6
204,1922,7,23,9,11,4,8,9,5,6
205,1922,7,24,9,11,4,8,10,6,6
206,1922,7,25,9,11,4,8,1,7,6
207,1922,7,26,9,11,4,8,2,8,6
208,1922,7,27,9,11,4,8,3,9,6
209,1922,7,28,9,11,4,8,4,10,6
210,1922,7,29,9,11,4,8,5,11,6
211,1922,7,30,9,11,4,8,6,12,6
212,1922,7,31,9,11,4,8,7,1,6
213,1922,8,1,9,11,4,8,8,2,6
214,1922,8,2,9,11,4,8,9,3,6
215,1922,8,3,9,11,4,8,10,4,6
216,1922,8,4,9,11,4,8,1,5,6
217,1922,8,5,9,11,4,8,2,6,6
218,1922,8,6,9,11,4,8,3,7,6
219,1922,8,7,9,11,4,8,4,8,6
220,1922,8,8,9,11,5,9,5,9,7
221,1922,8,9,9,11,5,9,6,10,7
222,1922,8,10,9,11,5,9,7,11,7
223,1922,8,11,9,11,5,9,8,12,7
224,1922,8,12,9,11,5,9,9,1,7
225,1922,8,13,9,11,5,9,10,2,7
226,1922,8,14,9,11,5,9,1,3,7
227,1922,8,15,9,11,5,9,2,4,7
228,1922,8,16,9,11,5,9,3,5,7
229,1922,8,17,9,11,5,9,4,6,7
230,1922,8,18,9,11,5,9,5,7,7
231,1922,8,19,9,11,5,9,6,8,7
232,1922,8,20,9,11,5,9,7,9,7
233,1922,8,21,9,11,5,9,8,10,7
234,1922,8,22,9,11,5,9,9,11,7
235,1922,8,23,9,11,5,9,10,12,7
236,1922,8,24,9,11,5,9,1,1,7
237,1922,8,25,9,11,5,9,2,2,7
238,1922,8,26,9,11,5,9,3,3,7
239,1922,8,27,9,11,5,9,4,4,7
240,1922,8,28,9,11,5,9,5,5,7
241,1922,8,29,9,11,5,9,6,6,7
242,1922,8,30,9,11,5,9,7,7,7
243,1922,8,31,9,11,5,9,8,8,7
244,1922,9,1,9,11,5,9,9,9,7
245,1922,9,2,9,11,5,9,10,10,7
246,1922,9,3,9,11,5,9,1,11,7
247,1922,9,4,9,11,5,9,2,12,7
248,1922,9,5,9,11,5,9,3,1,7
249,1922,9,6,9,11,5,9,4,2,7
250,1922,9,7,9,11,5,9,5,3,7
251,1922,9,8,9,11,6,10,6,4,8
252,1922,9,9,9,11,6,10,7,5,8
253,1922,9,10,9,11,6,10,8,6,8
254,1922,9,11,9,11,6,10,9,7,8
255,1922,9,12,9,11,6,10,10,8,8
256,1922,9,13,9,11,6,10,1,9,8
257,1922,9,14,9,11,6,10,2,10,8
258,1922,9,15,9,11,6,10,3,11,8
259,1922,9,16,9,11,6,10,4,12,8
260,1922,9,17,9,11,6,10,5,1,8
261,1922,9,18,9,11,6,10,6,2,8
262,1922,9,19,9,11,6,10,7,3,8
263,1922,9,20,9,11,6,10,8,4,8
264,1922,9,21,9,11,6,10,9,5,8
265,1922,9,22,9,11,6,10,10,6,8
266,1922,9,23,9,11,6,10,1,7,8
267,1922,9,24,9,11,6,10,2,8,8
268,1922,9,25,9,11,6,10,3,9,8
269,1922,9,26,9,11,6,10,4,10,8
270,1922,9,27,9,11,6,10,5,11,8
271,1922,9,28,9,11,6,10,6,12,8
272,1922,9,29,9,11,6,10,7,1,8
273,1922,9,30,9,11,6,10,8,2,8
274,1922,10,1,9,11,6,10,9,3,8
275,1922,10,2,9,11,6,10,10,4,8
276,1922,10,3,9,11,6,10,1,5,8
277,1922,10,4,9,11,6,10,2,6,8
278,1922,10,5,9,11,6,10,3,7,8
279,1922,10,6,9,11,6,10,4,8,8
280,1922,10,7,9,11,6,10,5,9,8
281,1922,10,8,9,11,6,10,6,10,8
282,1922,10,9,9,11,7,11,7,11,9
283,1922,10,10,9,11,7,11,8,12,9
284,1922,10,11,9,11,7,11,9,1,9
285,1922,10,12,9,11,7,11,10,2,9
286,1922,10,13,9,11,7,11,1,3,9
287,1922,10,14,9,11,7,11,2,4,9
288,1922,10,15,9,11,7,11,3,5,9
289,1922,10,16,9,11,7,11,4,6,9
290,1922,10,17,9,11,7,11,5,7,9
291,1922,10,18,9,11,7,11,6,8,9
292,1922,10,19,9,11,7,11,7,9,9
293,1922,10,20,9,11,7,11,8,10,9
294,1922,10,21,9,11,7,11,9,11,9
295,1922,10,22,9,11,7,11,10,12,9
296,1922,10,23,9,11,7,11,1,1,9
297,1922,10,24,9,11,7,11,2,2,9
298,1922,10,25,9,11,7,11,3,3,9
299,1922,10,26,9,11,7,11,4,4,9
300,1922,10,27,9,11,7,11,5,5,9
301,1922,10,28,9,11,7,11,6,6,9
302,1922,10,29,9,11,7,11,7,7,9
303,1922,10,30,9,11,7,11,8,8,9
304,1922,10,31,9,11,7,11,9,9,9
305,1922,11,1,9,11,7,11,10,10,9
306,1922,11,2,9,11,7,11,1,11,9
307,1922,11,3,9,11,7,11,2,12,9
308,1922,11,4,9,11,7,11,3,1,9
309,1922,11,5,9,11,7,11,4,2,9
310,1922,11,6,9,11,7,11,5,3,9
311,1922,11,7,9,11,7,11,6,4,9
312,1922,11,8,9,11,8,12,7,5,10
313,1922,11,9,9,11,8,12,8,6,10
314,1922,11,10,9,11,8,12,9,7,10
315,1922,11,11,9,11,8,12,10,8,10
316,1922,11,12,9,11,8,12,1,9,10
317,1922,11,13,9,11,8,12,2,10,10
318,1922,11,14,9,11,8,12,3,11,10
319,1922,11,15,9,11,8,12,4,12,10
320,1922,11,16,9,11,8,12,5,1,10
321,1922,11,17,9,11,8,12,6,2,10
322,1922,11,18,9,11,8,12,7,3,10
323,1922,11,19,9,11,8,12,8,4,10
324,1922,11,20,9,11,8,12,9,5,10
325,1922,11,21,9,11,8,12,10,6,10
326,1922,11,22,9,11,8,12,1,7,10
327,1922,11,23,9,11,8,12,2,8,10
328,1922,11,24,9,11,8,12,3,9,10
329,1922,11,25,9,11,8,12,4,10,10
330,1922,11,26,9,11,8,12,5,11,10
331,1922,11,27,9,11,8,12,6,12,10
332,1922,11,28,9,11,8,12,7,1,10
333,1922,11,29,9,11,8,12,8,2,10
334,1922,11,30,9,11,8,12,9,3,10
335,1922,12,1,9,11,8,12,10,4,10
336,1922,12,2,9,11,8,12,1,5,10
337,1922,12,3,9,11,8,12,2,6,10
338,1922,12,4,9,11,8,12,3,7,10
339,1922,12,5,9,11,8,12,4,8,10
340,1922,12,6,9,11,8,12,5,9,10
341,1922,12,7,9,11,8,12,6,10,10
342,1922,12,8,9,11,9,1,7,11,11
343,1922,12,9,9,11,9,1,8,12,11
344,1922,12,10,9,11,9,1,9,1,11
345,1922,12,11,9,11,9,1,10,2,11
346,1922,12,12,9,11,9,1,1,3,11
347,1922,12,13,9,11,9,1,2,4,11
348,1922,12,14,9,11,9,1,3,5,11
349,1922,12,15,9,11,9,1,4,6,11
350,1922,12,16,9,11,9,1,5,7,11
351,1922,12,17,9,11,9,1,6,8,11
352,1922,12,18,9,11,9,1,7,9,11
353,1922,12,19,9,11,9,1,8,10,11
354,1922,12,20,9,11,9,1,9,11,11
355,1922,12,21,9,11,9,1,10,12,11
356,1922,12,22,9,11,9,1,1,1,11
357,1922,12,23,9,11,9,1,2,2,11
358,1922,12,24,9,11,9,1,3,3,11
359,1922,12,25,9,11,9,1,4,4,11
360,1922,12,26,9,11,9,1,5,5,11
361,1922,12,27,9,11,9,1,6,6,11
362,1922,12,28,9,11,9,1,7,7,11
363,1922,12,29,9,11,9,1,8,8,11
364,1922,12,30,9,11,9,1,9,9,11
365,1922,12,31,9,11,9,1,10,10,11
366,1923,1,1,9,11,9,1,1,11,11
367,1923,1,2,9,11,9,1,2,12,11
368,1923,1,3,9,11,9,1,3,1,11
369,1923,1,4,9,11,9,1,4,2,11
370,1923,1,5,9,11,9,1,5,3,11
371,1923,1,6,9,11,10,2,6,4,12
372,1923,1,7,9,11,10,2,7,5,12
373,1923,1,8,9,11,10,2,8,6,12
374,1923,1,9,9,11,10,2,9,7,12
375,1923,1,10,9,11,10,2,10,8,12
376,1923,1,11,9,11,10,2,1,9,12
377,1923,1,12,9,11,10,2,2,10,12
378,1923,1,13,9,11,10,2,3,11,12
379,1923,1,14,9,11,10,2,4,12,12
380,1923,1,15,9,11,10,2,5,1,12
381,1923,1,16,9,11,10,2,6,2,12
382,1923,1,17,9,11,10,2,7,3,12
383,1923,1,18,9,11,10,2,8,4,12
384,1923,1,19,9,11,10,2,9,5,12
385,1923,1,20,9,11,10,2,10,6,12
386,1923,1,21,9,11,10,2,1,7,12
387,1923,1,22,9,11,10,2,2,8,12
388,1923,1,23,9,11,10,2,3,9,12
389,1923,1,24,9,11,10,2,4,10,12
390,1923,1,25,9,11,10,2,5,11,12
391,1923,1,26,9,11,10,2,6,12,12
392,1923,1,27,9,11,10,2,7,1,12
393,1923,1,28,9,11,10,2,8,2,12
394,1923,1,29,9,11,10,2,9,3,12
395,1923,1,30,9,11,10,2,10,4,12
396,1923,1,31,9,11,10,2,1,5,12
397,1923,2,1,9,11,10,2,2,6,12
398,1923,2,2,9,11,10,2,3,7,12
399,1923,2,3,9,11,10,2,4,8,12
400,1923,2,4,9,11,10,2,5,9,12
401,1923,2,5,10,12,1,3,6,10,1
402,1923,2,6,10,12,1,3,7,11,1
403,1923,2,7,10,12,1,3,8,12,1
404,1923,2,8,10,12,1,3,9,1,1
405,1923,2,9,10,12,1,3,10,2,1
406,1923,2,10,10,12,1,3,1,3,1
407,1923,2,11,10,12,1,3,2,4,1
408,1923,2,12,10,12,1,3,3,5,1
409,1923,2,13,10,12,1,3,4,6,1
410,1923,2,14,10,12,1,3,5,7,1
411,1923,2,15,10,12,1,3,6,8,1
412,1923,2,16,10,12,1,3,7,9,1
413,1923,2,17,10,12,1,3,8,10,1
414,1923,2,18,10,12,1,3,9,11,1
415,1923,2,19,10,12,1,3,10,12,1
416,1923,2,20,10,12,1,3,1,1,1
417,1923,2,21,10,12,1,3,2,2,1
418,1923,2,22,10,12,1,3,3,3,1
419,1923,2,23,10,12,1,3,4,4,1
420,1923,2,24,10,12,1,3,5,5,1
421,1923,2,25,10,12,1,3,6,6,1
422,1923,2,26,10,12,1,3,7,7,1
423,1923,2,27,10,12,1,3,8,8,1
424,1923,2,28,10,12,1,3,9,9,1
425,1923,3,1,10,12,1,3,10,10,1
426,1923,3,2,10,12,1,3,1,11,1
427,1923,3,3,10,12,1,3,2,12,1
428,1923,3,4,10,12,1,3,3,1,1
429,1923,3,5,10,12,1,3,4,2,1
430,1923,3,6,10,12,2,4,5,3,2
431,1923,3,7,10,12,2,4,6,4,2
432,1923,3,8,10,12,2,4,7,5,2
433,1923,3,9,10,12,2,4,8,6,2
434,1923,3,10,10,12,2,4,9,7,2
435,1923,3,11,10,12,2,4,10,8,2
436,1923,3,12,10,12,2,4,1,9,2
437,1923,3,13,10,12,2,4,2,10,2
438,1923,3,14,10,12,2,4,3,11,2
439,1923,3,15,10,12,2,4,4,12,2
440,1923,3,16,10,12,2,4,5,1,2
441,1923,3,17,10,12,2,4,6,2,2
442,1923,3,18,10,12,2,4,7,3,2
443,1923,3,19,10,12,2,4,8,4,2
444,1923,3,20,10,12,2,4,9,5,2
445,1923,3,21,10,12,2,4,10,6,2
446,1923,3,22,10,12,2,4,1,7,2
447,1923,3,23,10,12,2,4,2,8,2
448,1923,3,24,10,12,2,4,3,9,2
449,1923,3,25,10,12,2,4,4,10,2
450,1923,3,26,10,12,2,4,5,11,2
451,1923,3,27,10,12,2,4,6,12,2
452,1923,3,28,10,12,2,4,7,1,2
453,1923,3,29,10,12,2,4,8,2,2
454,1923,3,30,10,12,2,4,9,3,2
455,1923,3,31,10,12,2,4,10,4,2
456,1923,4,1,10,12,2,4,1,5,2
457,1923,4,2,10,12,2,4,2,6,2
458,1923,4,3,10,12,2,4,3,7,2
459,1923,4,4,10,12,2,4,4,8,2
460,1923,4,5,10,12,2,4,5,9,2
461,1923,4,6,10,12,3,5,6,10,3
462,1923,4,7,10,12,3,5,7,11,3
463,1923,4,8,10,12,3,5,8,12,3
464,1923,4,9,10,12,3,5,9,1,3
465,1923,4,10,10,12,3,5,10,2,3
466,1923,4,11,10,12,3,5,1,3,3
467,1923,4,12,10,12,3,5,2,4,3
468,1923,4,13,10,12,3,5,3,5,3
469,1923,4,14,10,12,3,5,4,6,3
470,1923,4,15,10,12,3,5,5,7,3
471,1923,4,16,10,12,3,5,6,8,3
472,1923,4,17,10,12,3,5,7,9,3
473,1923,4,18,10,12,3,5,8,10,3
474,1923,4,19,10,12,3,5,9,11,3
475,1923,4,20,10,12,3,5,10,12,3
476,1923,4,21,10,12,3,5,1,1,3
477,1923,4,22,10,12,3,5,2,2,3
478,1923,4,23,10,12,3,5,3,3,3
479,1923,4,24,10,12,3,5,4,4,3
480,1923,4,25,10,12,3,5,5,5,3
481,1923,4,26,10,12,3,5,6,6,3
482,1923,4,27,10,12,3,5,7,7,3
483,1923,4,28,10,12,3,5,8,8,3
484,1923,4,29,10,12,3,5,9,9,3
485,1923,4,30,10,12,3,5,10,10,3
486,1923,5,1,10,12,3,5,1,11,3
487,1923,5,2,10,12,3,5,2,12,3
488,1923,5,3,10,12,3,5,3,1,3
489,1923,5,4,10,12,3,5,4,2,3
490,1923,5,5,10,12,3,5,5,3,3
491,1923,5,6,10,12,4,6,6,4,4
492,1923,5,7,10,12,4,6,7,5,4
493,1923,5,8,10,12,4,6,8,6,4
494,1923,5,9,10,12,4,6,9,7,4
495,1923,5,10,10,12,4,6,10,8,4
496,1923,5,11,10,12,4,6,1,9,4
497,1923,5,12,10,12,4,6,2,10,4
498,1923,5,13,10,12,4,6,3,11,4
499,1923,5,14,10,12,4,6,4,12,4
500,1923,5,15,10,12,4,6,5,1,4
501,1923,5,16,10,12,4,6,6,2,4
502,1923,5,17,10,12,4,6,7,3,4
503,1923,5,18,10,12,4,6,8,4,4
504,1923,5,19,10,12,4,6,9,5,4
505,1923,5,20,10,12,4,6,10,6,4
506,1923,5,21,10,12,4,6,1,7,4
507,1923,5,22,10,12,4,6,2,8,4
508,1923,5,23,10,12,4,6,3,9,4
509,1923,5,24,10,12,4,6,4,10,4
510,1923,5,25,10,12,4,6,5,11,4
511,1923,5,26,10,12,4,6,6,12,4
512,1923,5,27,10,12,4,6,7,1,4
513,1923,5,28,10,12,4,6,8,2,4
514,1923,5,29,10,12,4,6,9,3,4
515,1923,5,30,10,12,4,6,10,4,4
516,1923,5,31,10,12,4,6,1,5,4
517,1923,6,1,10,12,4,6,2,6,4
518,1923,6,2,10,12,4,6,3,7,4
519,1923,6,3,10,12,4,6,4,8,4
520,1923,6,4,10,12,4,6,5,9,4
521,1923,6,5,10,12,4,6,6,10,4
522,1923,6,6,10,12,4,6,7,11,4
523,1923,6,7,10,12,5,7,8,12,5
524,1923,6,8,10,12,5,7,9,1,5
525,1923,6,9,10,12,5,7,10,2,5
526,1923,6,10,10,12,5,7,1,3,5
527,1923,6,11,10,12,5,7,2,4,5
528,1923,6,12,10,12,5,7,3,5,5
529,1923,6,13,10,12,5,7,4,6,5
530,1923,6,14,10,12,5,7,5,7,5
531,1923,6,15,10,12,5,7,6,8,5
532,1923,6,16,10,12,5,7,7,9,5
533,1923,6,17,10,12,5,7,8,10,5
534,1923,6,18,10,12,5,7,9,11,5
535,1923,6,19,10,12,5,7,10,12,5
536,1923,6,20,10,12,5,7,1,1,5
537,1923,6,21,10,12,5,7,2,2,5
538,1923,6,22,10,12,5,7,3,3,5
539,1923,6,23,10,12,5,7,4,4,5
540,1923,6,24,10,12,5,7,5,5,5
541,1923,6,25,10,12,5,7,6,6,5
542,1923,6,26,10,12,5,7,7,7,5
543,1923,6,27,10,12,5,7,8,8,5
544,1923,6,28,10,12,5,7,9,9,5
545,1923,6,29,10,12,5,7,10,10,5
546,1923,6,30,10,12,5,7,1,11,5
547,1923,7,1,10,12,5,7,2,12,5
548,1923,7,2,10,12,5,7,3,1,5
549,1923,7,3,10,12,5,7,4,2,5
550,1923,7,4,10,12,5,7,5,3,5
551,1923,7,5,10,12,5,7,6,4,5
552,1923,7,6,10,12,5,7,7,5,5
553,1923,7,7,10,12,5,7,8,6,5
554,1923,7,8,10,12,6,8,9,7,6
555,1923,7,9,10,12,6,8,10,8,6
556,1923,7,10,10,12,6,8,1,9,6
557,1923,7,11,10,12,6,8,2,10,6
558,1923,7,12,10,12,6,8,3,11,6
559,1923,7,13,10,12,6,8,4,12,6
560,1923,7,14,10,12,6,8,5,1,6
561,1923,7,15,10,12,6,8,6,2,6
562,1923,7,16,10,12,6,8,7,3,6
563,1923,7,17,10,12,6,8,8,4,6
564,1923,7,18,10,12,6,8,9,5,6
565,1923,7,19,10,12,6,8,10,6,6
566,1923,7,20,10,12,6,8,1,7,6
567,1923,7,21,10,12,6,8,2,8,6
568,1923,7,22,10,12,6,8,3,9,6
569,1923,7,23,10,12,6,8,4,10,6
570,1923,7,24,10,12,6,8,5,11,6
571,1923,7,25,10,12,6,8,6,12,6
572,1923,7,26,10,12,6,8,7,1,6
573,1923,7,27,10,12,6,8,8,2,6
574,1923,7,28,10,12,6,8,9,3,6
575,1923,7,29,10,12,6,8,10,4,6
576,1923,7,30,10,12,6,8,1,5,6
577,1923,7,31,10,12,6,8,2,6,6
578,1923,8,1,10,12,6,8,3,7,6
579,1923,8,2,10,12,6,8,4,8,6
580,1923,8,3,10,12,6,8,5,9,6
581,1923,8,4,10,12,6,8,6,10,6
582,1923,8,5,10,12,6,8,7,11,6
583,1923,8,6,10,12,6,8,8,12,6
584,1923,8,7,10,12,6,8,9,1,6
585,1923,8,8,10,12,7,9,10,2,7
586,1923,8,9,10,12,7,9,1,3,7
587,1923,8,10,10,12,7,9,2,4,7
588,1923,8,11,10,12,7,9,3,5,7
589,1923,8,12,10,12,7,9,4,6,7
590,1923,8,13,10,12,7,9,5,7,7
591,1923,8,14,10,12,7,9,6,8,7
592,1923,8,15,10,12,7,9,7,9,7
593,1923,8,16,10,12,7,9,8,10,7
594,1923,8,17,10,12,7,9,9,11,7
595,1923,8,18,10,12,7,9,10,12,7
596,1923,8,19,10,12,7,9,1,1,7
597,1923,8,20,10,12,7,9,2,2,7
598,1923,8,21,10,12,7,9,3,3,7
599,1923,8,22,10,12,7,9,4,4,7
600,1923,8,23,10,12,7,9,5,5,7
601,1923,8,24,10,12,7,9,6,6,7
602,1923,8,25,10,12,7,9,7,7,7
603,1923,8,26,10,12,7,9,8,8,7
604,1923,8,27,10,12,7,9,9,9,7
