name,ID,HS_Hour,EB_Hour,HS_Day,HS_Month,EB_Month,HS_Year,EB_Year,EB_Hour_eng,EB_Day,EB_Day_eng,EB_Month_eng,EB_Year_eng,Season,Element,kin_tone,kin_seal,kin_number,guide_seal,guide_tone,analogue_seal,analogue_tone,antipode_seal,antipode_tone,occult_seal,occult_tone,tribe,a_tribe,sun,moon,ascendant
"Bob Carmichael",18,N/A,N/A,"yang earth","yang water","yang fire","yang metal","yang earth",N/A,"yang metal",monkey,horse,dragon,"Mid Summer",neutral,selfexisting,earth,17,skyWalker,selfexisting,wind,selfexisting,hand,selfexisting,seed,planetary,white,red,"Can 12 19 56","Gem 29 54 03","Lib 13 25 02"
"Jan Leschly",19,N/A,N/A,"yin fire","yin wood","yin metal","yang metal","yang earth",N/A,"yin fire",snake,rooster,dragon,"Mid Autumn",neutral,galactic,worldBridger,86,dog,galactic,skyWalker,galactic,warrior,galactic,eagle,rhythmic,red,white,"Vir 18 35 06","Cap 21 08 21","Sag 21 08 15"
"Earl Butch Buchholz",20,N/A,N/A,"yang water","yin wood","yin metal","yang metal","yang earth",N/A,"yang earth",dog,rooster,dragon,"Mid Autumn",earth,cosmic,monkey,91,eagle,cosmic,star,cosmic,dragon,cosmic,dog,magnetic,yellow,blue,"Vir 23 27 18","Pis 22 14 19","Sag 25 40 13"
"Martin Mulligan",21,N/A,N/A,"yang wood","yang fire","yang earth","yang metal","yang earth",N/A,"yang fire",horse,dog,dragon,"Late Autumn",earth,rhythmic,night,123,night,rhythmic,warrior,rhythmic,skyWalker,rhythmic,mirror,galactic,yellow,blue,"Lib 24 57 27","Tau 18 27 21","Cap 24 53 10"
"Cliff Drysdale",22,N/A,N/A,"yang wood","yin water","yin fire","yin metal","yin fire",N/A,"yang earth",dog,snake,snake,"Early Summer",fire,overtone,night,83,monkey,overtone,warrior,overtone,skyWalker,overtone,mirror,solar,yellow,blue,"Gem 04 49 49","Gem 07 54 53","Vir 01 39 03"
"Pierre Barthes",23,N/A,N/A,"yang wood","yin fire","yin metal","yin metal","yin fire",N/A,"yang water",rat,rooster,snake,"Mid Autumn",neutral,spectral,skyWalker,193,skyWalker,spectral,worldBridger,spectral,night,spectral,star,electric,white,red,"Vir 20 17 28","Gem 16 49 52","Sag 22 43 53"
"Roger Taylor",24,N/A,N/A,"yin wood","yang earth","yang earth","yin metal","yin fire",N/A,"yin earth",sheep,dog,snake,"Late Autumn",earth,electric,seed,224,star,electric,eagle,electric,wizard,electric,earth,spectral,blue,yellow,"Lib 20 44 42","Leo 01 51 11","Cap 20 56 21"
"Marty Riessen",25,N/A,N/A,"yang fire","yin earth","yin water","yin metal","yin fire",N/A,"yang earth",dog,pig,snake,"Early Winter",neutral,lunar,eagle,15,hand,lunar,seed,lunar,snake,lunar,worldBridger,crystal,yellow,blue,"Sag 11 57 28","Gem 18 50 45","Pis 11 28 15"
"Tom Edlefsen",26,N/A,N/A,"yang wood","yang metal","yang water","yin metal","yin fire",N/A,"yang fire",horse,rat,snake,"Mid Winter",fire,planetary,night,23,monkey,planetary,warrior,planetary,skyWalker,planetary,mirror,selfexisting,yellow,blue,"Sag 20 05 02","Vir 28 59 60","Pis 19 58 50"
"Francois Jauffret",27,N/A,N/A,"yin water","yang water","yang wood","yang water","yang fire",N/A,"yin fire",snake,tiger,horse,"Early Spring",fire,selfexisting,wind,82,mirror,selfexisting,earth,selfexisting,human,selfexisting,storm,planetary,red,white,"Aqu 20 06 53","Sag 01 42 57","Tau 21 22 26"
"Juan Gisbert",28,N/A,N/A,"yang earth","yang wood","yang earth","yang water","yang fire",N/A,"yang water",rat,dragon,horse,"Late Spring",neutral,resonant,earth,137,moon,resonant,wind,resonant,hand,resonant,seed,resonant,white,red,"Ari 15 03 57","Sag 09 05 44","Can 12 06 13"
"Frank Froehling",29,N/A,N/A,"yang water","yin wood","yin fire","yang water","yang fire",N/A,"yang metal",monkey,snake,horse,"Early Summer",fire,crystal,dragon,181,skyWalker,crystal,mirror,crystal,monkey,crystal,sun,lunar,white,red,"Tau 27 52 09","Can 14 24 56","Leo 24 13 01"
"Frew Mcmillan",30,N/A,N/A,"yin water","yin wood","yin fire","yang water","yang fire",N/A,"yin metal",rooster,snake,horse,"Early Summer",fire,cosmic,wind,182,worldBridger,cosmic,earth,cosmic,human,cosmic,storm,magnetic,red,white,"Tau 28 49 54","Can 26 19 48","Leo 25 14 05"
"Dennis Ralston",31,N/A,N/A,"yin metal","yin fire","yin earth","yang water","yang fire",N/A,"yin fire",snake,sheep,horse,"Late Summer",fire,electric,dog,250,wizard,electric,moon,electric,sun,electric,monkey,spectral,red,white,"Leo 03 48 55","Cap 29 37 08","Sco 06 52 24"
"Mark Cox",32,N/A,N/A,"yang wood","yang earth","yang fire","yin water","yin earth",N/A,"yang water",rat,horse,sheep,"Mid Summer",neutral,galactic,skyWalker,73,earth,galactic,worldBridger,galactic,night,galactic,star,rhythmic,white,red,"Can 12 35 25","Leo 14 53 45","Lib 13 42 14"
"Arthur Ashe",33,N/A,N/A,"yin earth","yin earth","yin earth","yin water","yin earth",N/A,"yin fire",snake,sheep,sheep,"Late Summer",earth,cosmic,mirror,78,wind,cosmic,dragon,cosmic,star,cosmic,night,magnetic,red,white,"Can 17 21 29","Lib 15 10 05","Lib 19 00 27"
"Owen Davidson",34,N/A,N/A,"yin wood","yin metal","yin metal","yin water","yin earth",N/A,"yin earth",sheep,rooster,sheep,"Mid Autumn",earth,galactic,seed,164,star,galactic,eagle,galactic,wizard,galactic,earth,rhythmic,blue,yellow,"Lib 10 23 22","Sag 10 35 21","Cap 11 18 54"
"Milan Holecek",35,N/A,N/A,"yang wood","yang water","yang earth","yin water","yin earth",N/A,"yang wood",tiger,dog,sheep,"Late Autumn",earth,magnetic,night,183,night,magnetic,warrior,magnetic,skyWalker,magnetic,mirror,cosmic,yellow,blue,"Lib 29 12 20","Leo 25 28 26","Cap 28 53 43"
"Clark Graebner",36,N/A,N/A,"yang fire","yang water","yang earth","yin water","yin earth",N/A,"yang wood",tiger,dog,sheep,"Late Autumn",earth,cosmic,eagle,195,storm,cosmic,seed,cosmic,snake,cosmic,worldBridger,magnetic,yellow,blue,"Sco 11 11 52","Aqu 02 49 58","Aqu 10 24 28"
"Bill Bowrey",37,N/A,N/A,"yin fire","yang wood","yang water","yin water","yin earth",N/A,"yin fire",snake,rat,sheep,"Mid Winter",neutral,crystal,worldBridger,246,mirror,crystal,skyWalker,crystal,warrior,crystal,eagle,lunar,red,white,"Cap 02 49 28","Sag 10 38 09","Ari 03 24 26"
"Charlie Pasarell",38,N/A,N/A,"yang fire","yang fire","yang wood","yang wood","yang metal",N/A,"yang fire",horse,tiger,monkey,"Early Spring",fire,solar,eagle,35,monkey,solar,seed,solar,snake,solar,worldBridger,overtone,yellow,blue,"Aqu 22 39 38","Vir 28 03 36","Tau 23 48 16"
"Tom Okker",39,N/A,N/A,"yang fire","yang fire","yang wood","yang wood","yang metal",N/A,"yang earth",dragon,tiger,monkey,"Early Spring",wood,rhythmic,snake,45,snake,rhythmic,wizard,rhythmic,eagle,rhythmic,warrior,galactic,white,red,"Pis 02 45 11","Aqu 10 18 34","Gem 03 18 40"
"John Newcombe",40,N/A,N/A,"yin fire","yin earth","yin fire","yang wood","yang metal",N/A,"yin water",pig,snake,monkey,"Early Summer",fire,overtone,eagle,135,night,overtone,seed,overtone,snake,overtone,worldBridger,solar,yellow,blue,"Gem 02 12 36","Gem 17 52 06","Leo 28 49 55"
"Patricio Cornejo",41,N/A,N/A,"yin metal","yang metal","yang fire","yang wood","yang metal",N/A,"yin earth",ox,horse,monkey,"Mid Summer",metal,rhythmic,moon,149,moon,rhythmic,dog,rhythmic,storm,rhythmic,human,galactic,white,red,"Gem 15 37 49","Sag 11 59 17","Vir 13 28 25"
"Dick Crealy",42,N/A,N/A,"yin wood","yin water","yin metal","yang wood","yang metal",N/A,"yin metal",rooster,rooster,monkey,"Mid Autumn",metal,rhythmic,skyWalker,253,skyWalker,rhythmic,worldBridger,rhythmic,night,rhythmic,star,galactic,white,red,"Vir 25 26 02","Lib 06 01 58","Sag 27 30 14"
"Colin Dibley",43,N/A,N/A,"yang fire","yin water","yin metal","yang wood","yang metal",N/A,"yang earth",dog,rooster,monkey,"Mid Autumn",metal,resonant,wizard,254,worldBridger,resonant,snake,resonant,seed,resonant,hand,resonant,red,white,"Vir 26 24 40","Lib 17 56 06","Sag 28 24 30"
"Alex Metreveli",44,N/A,N/A,"yang metal","yang wood","yang earth","yang wood","yang metal",N/A,"yang fire",horse,dog,monkey,"Late Autumn",metal,crystal,mirror,38,dog,crystal,dragon,crystal,star,crystal,night,lunar,red,white,"Sco 09 56 55","Gem 06 17 42","Aqu 09 11 49"
"Jim Osborne",45,N/A,N/A,"yin metal","yin fire","yin earth","yang wood","yang metal",N/A,"yin earth",ox,ox,monkey,"Late Winter",earth,crystal,moon,129,dragon,crystal,dog,crystal,storm,crystal,human,lunar,white,red,"Aqu 12 16 55","Vir 29 37 20","Tau 13 47 12"
"Ove Nils Bengtson",46,N/A,N/A,"yang wood","yang metal","yang earth","yin wood","yin metal",N/A,"yang earth",dragon,dragon,rooster,"Late Spring",earth,planetary,human,192,sun,planetary,hand,planetary,wind,planetary,moon,selfexisting,blue,yellow,"Ari 15 20 01","Cap 11 42 19","Can 12 21 00"
"Thomaz Koch",47,N/A,N/A,"yang metal","yin metal","yin fire","yin wood","yin metal",N/A,"yang earth",dragon,snake,rooster,"Early Summer",metal,resonant,star,228,sun,resonant,monkey,resonant,mirror,resonant,skyWalker,resonant,blue,yellow,"Tau 20 24 56","Tau 15 30 27","Leo 16 26 56"
"Tony Roche",48,N/A,N/A,"yang fire","yin metal","yin fire","yin wood","yin metal",N/A,"yang earth",dog,snake,rooster,"Early Summer",neutral,cosmic,wizard,234,mirror,cosmic,snake,cosmic,seed,cosmic,hand,magnetic,red,white,"Tau 26 12 14","Leo 09 42 56","Leo 22 27 49"
"Mike Belkin",49,N/A,N/A,"yin earth","yang water","yang fire","yin wood","yin metal",N/A,"yin fire",snake,horse,rooster,"Mid Summer",fire,selfexisting,earth,17,skyWalker,selfexisting,wind,selfexisting,hand,selfexisting,seed,planetary,white,red,"Can 07 21 16","Aqu 24 56 22","Lib 07 50 37"
"Allan Stone",50,N/A,N/A,"yang fire","yang fire","yang earth","yin wood","yin metal",N/A,"yang earth",dragon,dog,rooster,"Late Autumn",earth,resonant,seed,124,warrior,resonant,eagle,resonant,wizard,resonant,earth,resonant,blue,yellow,"Lib 20 46 50","Cap 21 55 54","Cap 20 57 52"
"Jan Kodes",51,N/A,N/A,"yang wood","yang metal","yang wood","yang fire","yang earth",N/A,"yang earth",dog,tiger,dog,"Early Spring",earth,lunar,wind,2,wizard,lunar,earth,lunar,human,lunar,storm,crystal,red,white,"Pis 10 18 15","Aqu 11 42 03","Gem 10 18 22"
"Ray Ruffels",52,N/A,N/A,"yang fire","yin metal","yin wood","yang fire","yang earth",N/A,"yang metal",monkey,rabbit,dog,"Mid Spring",metal,spectral,seed,24,seed,spectral,eagle,spectral,wizard,spectral,earth,electric,blue,yellow,"Ari 02 15 03","Sag 05 38 59","Can 00 20 25"
"Jaime Fillol",53,N/A,N/A,"yang earth","yin water","yin fire","yang fire","yang earth",N/A,"yang metal",monkey,snake,dog,"Early Summer",neutral,overtone,warrior,96,seed,overtone,night,overtone,worldBridger,overtone,snake,solar,blue,yellow,"Gem 12 17 41","Leo 02 34 20","Vir 09 47 19"
"Sherwood Stewart",54,N/A,N/A,"yin metal","yang wood","yang fire","yang fire","yang earth",N/A,"yin water",pig,horse,dog,"Mid Summer",neutral,galactic,storm,99,night,galactic,sun,galactic,moon,galactic,wind,rhythmic,yellow,blue,"Gem 15 10 01","Vir 13 07 39","Vir 12 57 35"
"Ivan Molina",55,N/A,N/A,"yin metal","yang wood","yang fire","yang fire","yang earth",N/A,"yin metal",rooster,horse,dog,"Mid Summer",neutral,overtone,moon,109,earth,overtone,dog,overtone,storm,overtone,human,solar,white,red,"Gem 24 43 21","Cap 13 39 19","Vir 23 37 43"
"Ilie Nastase",56,N/A,N/A,"yang wood","yin wood","yin earth","yang fire","yang earth",N/A,"yang fire",horse,sheep,dog,"Late Summer",earth,crystal,wind,142,wizard,crystal,earth,crystal,human,crystal,storm,lunar,red,white,"Can 26 11 48","Pis 26 39 48","Lib 28 42 31"
"Robert Maud",57,N/A,N/A,"yang earth","yang fire","yang metal","yang fire","yang earth",N/A,"yang fire",horse,monkey,dog,"Early Autumn",fire,planetary,worldBridger,166,wizard,planetary,skyWalker,planetary,warrior,planetary,eagle,selfexisting,red,white,"Leo 19 09 41","Aqu 14 00 06","Sco 22 44 14"
"Raymond Moore",58,N/A,N/A,"yang metal","yang fire","yang metal","yang fire","yang earth",N/A,"yang fire",horse,monkey,dog,"Early Autumn",fire,solar,mirror,178,wizard,solar,dragon,solar,star,solar,night,overtone,red,white,"Vir 00 42 21","Can 29 37 37","Sag 04 08 59"
"John Cooper",59,N/A,N/A,"yang water","yang earth","yang earth","yang fire","yang earth",N/A,"yang fire",horse,dog,dog,"Late Autumn",earth,electric,dog,250,wizard,electric,moon,electric,sun,electric,monkey,spectral,red,white,"Sco 11 28 15","Pis 08 22 25","Aqu 10 40 24"
"Stan Smith",60,N/A,N/A,"yang water","yang metal","yang water","yang fire","yang earth",N/A,"yang earth",dog,rat,dog,"Mid Winter",earth,selfexisting,dog,30,worldBridger,selfexisting,moon,selfexisting,sun,selfexisting,monkey,planetary,red,white,"Sag 21 54 07","Vir 10 09 49","Pis 21 53 30"
"Tom Gorman",61,N/A,N/A,"yin fire","yang metal","yang water","yang fire","yang earth",N/A,"yin wood",rabbit,rat,dog,"Mid Winter",neutral,solar,eagle,35,monkey,solar,seed,solar,snake,solar,worldBridger,overtone,yellow,blue,"Sag 26 59 28","Sco 13 13 45","Pis 27 15 18"
"Cliff Richey",62,N/A,N/A,"yin earth","yang metal","yang water","yang fire","yang earth",N/A,"yin wood",rabbit,rat,dog,"Mid Winter",earth,galactic,hand,47,monkey,galactic,human,galactic,earth,galactic,wizard,rhythmic,yellow,blue,"Cap 09 13 14","Ari 09 01 42","Ari 10 07 50"
"William Harris",63,N/A,N/A,"yin water","yin metal","yin earth","yang fire","yang earth",N/A,"yin fire",snake,ox,dog,"Late Winter",earth,solar,dragon,61,earth,solar,mirror,solar,monkey,solar,sun,overtone,white,red,"Cap 23 29 07","Lib 27 48 25","Ari 24 56 39"
"Vladimir Zednik",64,N/A,N/A,"yin metal","yin metal","yin earth","yang fire","yang earth",N/A,"yin water",pig,ox,dog,"Late Winter",earth,magnetic,storm,79,storm,magnetic,sun,magnetic,moon,magnetic,wind,cosmic,yellow,blue,"Aqu 11 47 43","Gem 14 23 36","Tau 13 18 21"
"Onny Parun",65,N/A,N/A,"yang wood","yang wood","yang earth","yin fire","yin water",N/A,"yang water",rat,dragon,pig,"Late Spring",water,solar,human,152,star,solar,hand,solar,wind,solar,moon,overtone,blue,yellow,"Ari 24 40 40","Aqu 15 40 24","Can 21 05 29"
"Han Jurgen Pohmann",66,N/A,N/A,"yang water","yin wood","yin fire","yin fire","yin water",N/A,"yang wood",tiger,snake,pig,"Early Summer",wood,galactic,dog,190,wizard,galactic,moon,galactic,sun,galactic,monkey,rhythmic,red,white,"Gem 01 31 01","Can 12 04 57","Leo 28 05 05"
"Gerald Battrick",67,N/A,N/A,"yang fire","yin wood","yin fire","yin fire","yin water",N/A,"yang fire",horse,snake,pig,"Early Summer",fire,crystal,wizard,194,worldBridger,crystal,snake,crystal,seed,crystal,hand,lunar,red,white,"Gem 05 21 34","Vir 09 18 30","Vir 02 12 49"
"Zeljko Franulovic",68,N/A,N/A,"yin water","yang fire","yang fire","yin fire","yin water",N/A,"yin water",pig,horse,pig,"Mid Summer",water,electric,monkey,211,eagle,electric,star,electric,dragon,electric,dog,spectral,yellow,blue,"Gem 21 37 53","Ari 09 58 14","Vir 20 09 25"
"Robert Lutz",69,N/A,N/A,"yang metal","yang earth","yang metal","yin fire","yin water",N/A,"yang earth",dragon,monkey,pig,"Early Autumn",neutral,lunar,star,28,sun,lunar,monkey,lunar,mirror,lunar,skyWalker,crystal,blue,yellow,"Vir 05 18 06","Aqu 10 48 11","Sag 08 34 58"
"Ismail El Shafei",70,N/A,N/A,"yang earth","yin metal","yin water","yin fire","yin water",N/A,"yang earth",dog,pig,pig,"Early Winter",neutral,lunar,worldBridger,106,mirror,lunar,skyWalker,lunar,warrior,lunar,eagle,crystal,red,white,"Sco 22 16 40","Sag 23 04 43","Aqu 21 20 52"
"Georges Goven",71,N/A,N/A,"yin metal","yang fire","yang earth","yang earth","yang water",N/A,"yin fire",snake,dragon,rat,"Late Spring",neutral,galactic,star,8,human,galactic,monkey,galactic,mirror,galactic,skyWalker,rhythmic,blue,yellow,"Tau 06 09 03","Sag 12 50 12","Leo 02 07 42"
"Jurgen Fassbender",72,N/A,N/A,"yin water","yin fire","yin fire","yang earth","yang water",N/A,"yin earth",ox,snake,rat,"Early Summer",neutral,magnetic,sun,40,sun,magnetic,storm,magnetic,dog,magnetic,dragon,cosmic,blue,yellow,"Gem 07 02 33","Aqu 10 16 02","Vir 04 02 30"
"Brian Fairlie",73,N/A,N/A,"yin earth","yang earth","yang fire","yang earth","yang water",N/A,"yin fire",snake,horse,rat,"Mid Summer",fire,selfexisting,warrior,56,human,selfexisting,night,selfexisting,worldBridger,selfexisting,snake,planetary,blue,yellow,"Gem 22 21 29","Vir 12 38 24","Vir 20 58 07"
"Bernard Mignot",74,N/A,N/A,"yang water","yin water","yin water","yang earth","yang water",N/A,"yang earth",dog,pig,rat,"Early Winter",water,galactic,moon,229,skyWalker,galactic,dog,galactic,storm,galactic,human,rhythmic,white,red,"Sag 11 15 00","Cap 14 27 49","Pis 10 44 03"
"Andrew Pattison",75,N/A,N/A,"yang metal","yin wood","yin earth","yang earth","yang water",N/A,"yang metal",monkey,ox,rat,"Late Winter",neutral,magnetic,hand,27,hand,magnetic,human,magnetic,earth,magnetic,wizard,cosmic,yellow,blue,"Aqu 10 17 23","Aqu 25 46 09","Tau 11 49 43"
"Manuel Orantes",76,N/A,N/A,"yin fire","yang fire","yang wood","yin earth","yin earth",N/A,"yin wood",rabbit,tiger,ox,"Early Spring",wood,galactic,wizard,34,mirror,galactic,snake,galactic,seed,galactic,hand,rhythmic,red,white,"Aqu 17 23 29","Tau 19 14 11","Tau 18 44 51"
"Hans Kary",77,N/A,N/A,"yang wood","yang fire","yang wood","yin earth","yin earth",N/A,"yang metal",monkey,tiger,ox,"Early Spring",neutral,crystal,monkey,51,night,crystal,star,crystal,dragon,crystal,dog,lunar,yellow,blue,"Pis 04 33 22","Cap 15 51 19","Gem 04 59 20"
"Bob Giltinan",78,N/A,N/A,"yin fire","yang earth","yang earth","yin earth","yin earth",N/A,"yin wood",rabbit,dragon,ox,"Late Spring",earth,electric,wizard,94,mirror,electric,snake,electric,seed,electric,hand,spectral,red,white,"Ari 17 20 30","Can 29 25 54","Can 14 12 26"
"Karl Meiler",79,N/A,N/A,"yang metal","yang earth","yang earth","yin earth","yin earth",N/A,"yang wood",tiger,dragon,ox,"Late Spring",earth,cosmic,earth,117,dragon,cosmic,wind,cosmic,hand,cosmic,seed,magnetic,white,red,"Tau 09 48 15","Gem 04 14 59","Leo 05 43 35"
"Mike Estep",80,N/A,N/A,"yang metal","yin metal","yin earth","yin earth","yin earth",N/A,"yang earth",dog,sheep,ox,"Late Summer",earth,lunar,earth,197,moon,lunar,wind,lunar,hand,lunar,seed,crystal,white,red,"Can 26 27 40","Tau 10 09 38","Lib 28 59 40"
"Lars Elvstrom",81,N/A,N/A,"yang metal","yang water","yang metal","yin earth","yin earth",N/A,"yang earth",dragon,monkey,ox,"Early Autumn",earth,rhythmic,hand,227,hand,rhythmic,human,rhythmic,earth,rhythmic,wizard,galactic,yellow,blue,"Leo 25 11 27","Gem 12 44 05","Sco 28 45 05"
"Patrick Proisy",82,N/A,N/A,"yin water","yin water","yin metal","yin earth","yin earth",N/A,"yin wood",rabbit,rooster,ox,"Mid Autumn",earth,electric,dog,250,wizard,electric,moon,electric,sun,electric,monkey,spectral,red,white,"Vir 17 25 56","Ari 21 04 11","Sag 20 03 48"
"Jeff Borowiak",83,N/A,N/A,"yang earth","yin water","yin metal","yin earth","yin earth",N/A,"yang fire",horse,rooster,ox,"Mid Autumn",earth,overtone,snake,5,skyWalker,overtone,wizard,overtone,eagle,overtone,warrior,solar,white,red,"Lib 02 04 44","Sco 14 02 07","Cap 03 38 47"
"Wanaro Ngodrella",84,N/A,N/A,"yang water","yang wood","yang earth","yin earth","yin earth",N/A,"yang fire",horse,dog,ox,"Late Autumn",earth,electric,moon,29,skyWalker,electric,dog,electric,storm,electric,human,spectral,white,red,"Lib 25 46 02","Vir 22 02 33","Cap 25 39 03"
"Haroon Rahim",85,N/A,N/A,"yang fire","yin wood","yin water","yin earth","yin earth",N/A,"yang fire",horse,pig,ox,"Early Winter",neutral,magnetic,skyWalker,53,skyWalker,magnetic,worldBridger,magnetic,night,magnetic,star,cosmic,white,red,"Sco 19 46 27","Leo 05 27 52","Aqu 18 51 18"
"Antonio Zugarelli",86,N/A,N/A,"yang water","yin fire","yin earth","yin earth","yin earth",N/A,"yang water",rat,ox,ox,"Late Winter",earth,lunar,storm,119,monkey,lunar,sun,lunar,moon,lunar,wind,crystal,yellow,blue,"Cap 26 49 04","Cap 16 13 38","Ari 28 21 09"
"Phil Dent",87,N/A,N/A,"yang metal","yang earth","yang wood","yang metal","yang wood",N/A,"yang earth",dragon,tiger,tiger,"Early Spring",wood,selfexisting,hand,147,night,selfexisting,human,selfexisting,earth,selfexisting,wizard,planetary,yellow,blue,"Aqu 25 14 02","Cap 25 34 32","Tau 26 15 12"
"Adriano Panatta",88,N/A,N/A,"yin wood","yin water","yin earth","yang metal","yang wood",N/A,"yin fire",snake,sheep,tiger,"Late Summer",wood,rhythmic,human,32,human,rhythmic,hand,rhythmic,wind,rhythmic,moon,galactic,blue,yellow,"Can 16 41 58","Tau 12 42 06","Lib 18 16 34"
